Class,Spec,Role,RowIndex,ButtonLabel,TalentString,ImagePath,URL
Death Knight,Frost,dps,4,Copy Raid,CsPAAAAAAAAAAAAAAAAAAAAAAYAmZMjZAz2MzMzMLmZkZwMmZmxYmBMzMzMDAAAAAAAAAAbmNDDAmNN0wGmZmZmBMAGAYmB,Images/box_images/death_knight_frost_04.png,https://www.wowhead.com/guide/classes/death-knight/frost/talent-builds-pve-dps
Death Knight,Frost,dps,5,Copy Mythic+,CsPAAAAAAAAAAAAAAAAAAAAAAYAzMMjZAzmZmZmZxMjmZwwMjx4BmxMzMzMzMDAAAAAAAAAAbmNDDMwsphG2wMzMzMAAGAwMA,Images/box_images/death_knight_frost_05.png,https://www.wowhead.com/guide/classes/death-knight/frost/talent-builds-pve-dps
Death Knight,Frost,dps,6,Copy Delves,CsPAAAAAAAAAAAAAAAAAAAAAAYAzMMjZAzmZmZmZxMjmZwwMjx4BmxMzMzMzMDAAAAAAAAAAbmNDDMwsphG2wMzMzMAAGAwMA,Images/box_images/death_knight_frost_06.png,https://www.wowhead.com/guide/classes/death-knight/frost/talent-builds-pve-dps
Death Knight,Unholy,dps,1,Copy Rider ST,CwPAAAAAAAAAAAAAAAAAAAAAAAwMjZMGDzyMzMTzmxYMjZAAAAAAAAYGmZAwyMzMz2MzYGDwmZBGCY2YoxCAmBAmZGzAYGMD,Images/box_images/death_knight_unholy_01.png,https://www.wowhead.com/guide/classes/death-knight/unholy/talent-builds-pve-dps
Death Knight,Unholy,dps,2,Copy Rider M+/Delves,CwPAAAAAAAAAAAAAAAAAAAAAAAYmhZMmZYWmZmZaYMmZGDAAAAAAAAzMYGAsMMzsNzMGGgFzCMEwsxQjFMgZAYmZmhBwMYG,Images/box_images/death_knight_unholy_02.png,https://www.wowhead.com/guide/classes/death-knight/unholy/talent-builds-pve-dps
Death Knight,Unholy,dps,3,Copy Open World,CwPAAAAAAAAAAAAAAAAAAAAAAAwMMjxMDziZmZa2MmZmZMAAAAAAAAMzgZAwywMz2MzYYAWMLwQAzCDNWwAmBgZmZGGAzgZA,Images/box_images/death_knight_unholy_03.png,https://www.wowhead.com/guide/classes/death-knight/unholy/talent-builds-pve-dps
Demon Hunter,Havoc,dps,1,Copy Raid,CEkAAAAAAAAAAAAAAAAAAAAAAYGYmZ2MmZmxYmMmZAAAAAAAzixsNYmxyMzYb2mZmZZMDWGwsYGY2kGmZMsBAAAAAAAwMDGAAAA,Images/box_images/demon_hunter_havoc_01.png,https://www.wowhead.com/guide/classes/demon-hunter/havoc/talent-builds-pve-dps
Demon Hunter,Havoc,dps,2,Copy Raid No Mover,CEkAAAAAAAAAAAAAAAAAAAAAAYmZGzMzmxMzMGzkxMDAAAAAAYWMmtBzMWmHYGsNjZWGjhlBMbmBmNpxMzYYDAAAAAAAgZGMAAAA,Images/box_images/demon_hunter_havoc_02.png,https://www.wowhead.com/guide/classes/demon-hunter/havoc/talent-builds-pve-dps
Demon Hunter,Havoc,dps,3,Copy Mythic+,CEkAAAAAAAAAAAAAAAAAAAAAAYmZmZmZ2MmZmxYmMmZAAAAAAAzixYwMzYMjtZzMDjBWGwsZGYWkGzMjZsBAAAMAAAAmZwAAAAA,Images/box_images/demon_hunter_havoc_03.png,https://www.wowhead.com/guide/classes/demon-hunter/havoc/talent-builds-pve-dps
Demon Hunter,Havoc,dps,4,Copy M+ Low Mover,CEkAAAAAAAAAAAAAAAAAAAAAAYmZmZmZ2MmZmxYmMmZAAAAAAAzixYwMzYMD2mZGGDjlBMbmBmFpxMzYGbAAAADAAAgZGMAAAA,Images/box_images/demon_hunter_havoc_04.png,https://www.wowhead.com/guide/classes/demon-hunter/havoc/talent-builds-pve-dps
Demon Hunter,Havoc,dps,5,Copy Cleave,CEkAAAAAAAAAAAAAAAAAAAAAAYmZmZmZ2MmZmxYmMmZAAAAAAAzixYwMzYMjtZzMDjBWGwsZGYWkGzMjZsBAAAMAAAAmZwAAAAA,Images/box_images/demon_hunter_havoc_05.png,https://www.wowhead.com/guide/classes/demon-hunter/havoc/talent-builds-pve-dps
Demon Hunter,Havoc,dps,6,Copy Delves,CEkAAAAAAAAAAAAAAAAAAAAAAYmZmZmZ2MmZmxYmMmZAAAAAAAzixYwMzYMjtZzMDjBWGwsZGYWkGzMjZsBAAAMAAAAmZwAAAAA,Images/box_images/demon_hunter_havoc_06.png,https://www.wowhead.com/guide/classes/demon-hunter/havoc/talent-builds-pve-dps
Demon Hunter,Havoc,dps,7,Copy Raid,CEkAAAAAAAAAAAAAAAAAAAAAAYGMzMzmxMzMGzkxMDAAAAAAYWMmtBzMz2MzYZ2mHYGLjhxyMmBDDYSGzMGWAAAAAAAAzMADAAAA,Images/box_images/demon_hunter_havoc_07.png,https://www.wowhead.com/guide/classes/demon-hunter/havoc/talent-builds-pve-dps
Demon Hunter,Havoc,dps,8,Copy Raid No Mover,CEkAAAAAAAAAAAAAAAAAAAAAAYGMzMzmxMzMGzkxMDAAAAAAYWMmtBzMz2MzgtZMzyYGjlZMDGGwkMmZMsAAAAAAAAmZAGAAAA,Images/box_images/demon_hunter_havoc_08.png,https://www.wowhead.com/guide/classes/demon-hunter/havoc/talent-builds-pve-dps
Demon Hunter,Havoc,dps,9,Copy Mythic+,CEkAAAAAAAAAAAAAAAAAAAAAAYmZmZmZ2MmZmxYmMmZAAAAAAAzixYwMzsNmBbzMDjhxyMmBDDYSmZmxMWAAAAAAAAzMADAAAA,Images/box_images/demon_hunter_havoc_09.png,https://www.wowhead.com/guide/classes/demon-hunter/havoc/talent-builds-pve-dps
Demon Hunter,Havoc,dps,10,Copy M+ Low Mover,CEkAAAAAAAAAAAAAAAAAAAAAAYmZmZmZ2MmZmxYmMmZAAAAAAAzixYwMzsNmBbzMDjhxyMmBDDYSmZmxMWAAAAAAAAzMADAAAA,Images/box_images/demon_hunter_havoc_10.png,https://www.wowhead.com/guide/classes/demon-hunter/havoc/talent-builds-pve-dps
Demon Hunter,Havoc,dps,11,Copy Cleave,CEkAAAAAAAAAAAAAAAAAAAAAAYmZmZmZ2MmZmxYmMmZAAAAAAAzixYwMzsNmBbzMDjhxyMmBDDYSmZmxMWAAAAAAAAzMADAAAA,Images/box_images/demon_hunter_havoc_11.png,https://www.wowhead.com/guide/classes/demon-hunter/havoc/talent-builds-pve-dps
Demon Hunter,Havoc,dps,12,Copy Delves,CEkAAAAAAAAAAAAAAAAAAAAAAYmZmZmZ2MmZmxYmMmZAAAAAAAzixYwMzsNmBbzMDjhxyMmBDDYSmZmxMWAAAAAAAAzMADAAAA,Images/box_images/demon_hunter_havoc_12.png,https://www.wowhead.com/guide/classes/demon-hunter/havoc/talent-builds-pve-dps
Demon Hunter,Vengeance,tank,1,Copy Raid,CUkAAAAAAAAAAAAAAAAAAAAAAAAYMzMjZmZkZmZYYmZGDzYmxMmxMzwMmZsxMGDAAAAYMDGGwEGmZGLAAAAYwAQAmZAGAAAA,Images/box_images/demon_hunter_vengeance_01.png,https://www.wowhead.com/guide/classes/demon-hunter/vengeance/talent-builds-pve-tank
Demon Hunter,Vengeance,tank,2,Copy Mythic+,CUkAAAAAAAAAAAAAAAAAAAAAAAAYMzMjhZkZmBWMjZwMjZGz8AzMzYYmtZGbMjxYGAAAAsNDGG2YCDzMjFAAAAMwAIAmBYAAAAA,Images/box_images/demon_hunter_vengeance_02.png,https://www.wowhead.com/guide/classes/demon-hunter/vengeance/talent-builds-pve-tank
Demon Hunter,Vengeance,tank,3,Copy Cleave,CUkAAAAAAAAAAAAAAAAAAAAAAAAYMzMjZmZkZmZYYmZGDzYmxMmxMmxMmZsxMGDAAAAYMDGGwEGmZGLAAAAYwAQAmZAGAAAA,Images/box_images/demon_hunter_vengeance_03.png,https://www.wowhead.com/guide/classes/demon-hunter/vengeance/talent-builds-pve-tank
Demon Hunter,Vengeance,tank,4,Copy Council,CUkAAAAAAAAAAAAAAAAAAAAAAAAYMzMjZmZkZmZYYmZGDzYmxMmxMmxMmZsxMGDAAAAYMDGGwEGmZGLAAAAYwAQAmZAGAAAA,Images/box_images/demon_hunter_vengeance_04.png,https://www.wowhead.com/guide/classes/demon-hunter/vengeance/talent-builds-pve-tank
Demon Hunter,Vengeance,tank,5,Copy Delves,CUkAAAAAAAAAAAAAAAAAAAAAAAAYMzMjhZkZmBWMjZwMjZGz8AzYGjZmtZGbMjxYGAAAAGzghBMhhZmxCAAAAGYAEgZGgBAAAA,Images/box_images/demon_hunter_vengeance_05.png,https://www.wowhead.com/guide/classes/demon-hunter/vengeance/talent-builds-pve-tank
Demon Hunter,Vengeance,tank,6,Copy Raid,CUkAAAAAAAAAAAAAAAAAAAAAAAAYMzMjZmZkZmZYYmZGDzYmxMmxMzwMmZsxMGDAAAAAAAEwMzYDAAAADGzwMabmZGAYAAAAA,Images/box_images/demon_hunter_vengeance_06.png,https://www.wowhead.com/guide/classes/demon-hunter/vengeance/talent-builds-pve-tank
Demon Hunter,Vengeance,tank,7,Copy Mythic+,CUkAAAAAAAAAAAAAAAAAAAAAAAAYMzMjhZkZmBWMjZwMjZGz8AzMzYYmtZGbMjxYGAAAAAAABMzM2AAAAwAzMMj2mZmBAGAAAA,Images/box_images/demon_hunter_vengeance_07.png,https://www.wowhead.com/guide/classes/demon-hunter/vengeance/talent-builds-pve-tank
Demon Hunter,Vengeance,tank,8,Copy Cleave,CUkAAAAAAAAAAAAAAAAAAAAAAAAYMzMjZmZkZmZYYmZGDzYmxMmxMmxMmZsxMGDAAAAAAAEwMzYDAAAADGzwMabmZGAYAAAAA,Images/box_images/demon_hunter_vengeance_08.png,https://www.wowhead.com/guide/classes/demon-hunter/vengeance/talent-builds-pve-tank
Demon Hunter,Vengeance,tank,9,Copy Council,CUkAAAAAAAAAAAAAAAAAAAAAAAAYMzMjZmZkZmZYYmZGDzYmxMmxMmxMmZsxMGDAAAAAAAEwMzYDAAAADGzwMabmZGAYAAAAA,Images/box_images/demon_hunter_vengeance_09.png,https://www.wowhead.com/guide/classes/demon-hunter/vengeance/talent-builds-pve-tank
Demon Hunter,Vengeance,tank,10,Copy Delves,CUkAAAAAAAAAAAAAAAAAAAAAAAAYMzMjhZkZmBWMjZwMjZGz8AzYGjZmtZGbMjxYGAAAAAAABMzM2AAAAwAzYMj2mZmBAGAAAA,Images/box_images/demon_hunter_vengeance_10.png,https://www.wowhead.com/guide/classes/demon-hunter/vengeance/talent-builds-pve-tank
Druid,Balance,dps,1,Copy Raid Single Target Build,CYGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAWoMaGjZG4BMLzMzMDwMDzsNjZMjtxyMmZMMbYAwAssBMZmlRAAAA2Mz8AzMYzAjZAMzAA,Images/box_images/druid_balance_01.png,https://www.wowhead.com/guide/classes/druid/balance/talent-builds-pve-dps
Druid,Balance,dps,2,Copy Raid Multi-Target Build,CYGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAWoMbNjxMDwsYmZGLMMmZbmlx2MmxGLzYMzgFMMADwyGwkZWGBAAAYzMjZGsZYMmBwMDAA,Images/box_images/druid_balance_02.png,https://www.wowhead.com/guide/classes/druid/balance/talent-builds-pve-dps
Druid,Balance,dps,3,Copy Mythic+ Build,CYGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAWoMbNMmZAmlZmZmZhhxMmZZmFzMjlxyMLjxgFMAYsYmBMGBmAAAAswMmZw2ywYMAAMzA,Images/box_images/druid_balance_03.png,https://www.wowhead.com/guide/classes/druid/balance/talent-builds-pve-dps
Druid,Balance,dps,4,Copy KOTG Mythic+ Build,CYGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAWoMbNMmZAmlZmZmZhhxMLzsMWGmx2MLzYMGsgBADwyGwkZWGBAAAYzMjZGsZYMmBwMDAA,Images/box_images/druid_balance_04.png,https://www.wowhead.com/guide/classes/druid/balance/talent-builds-pve-dps
Druid,Balance,dps,5,Copy Delve Build,CYGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAWoMbNMmZAmlZmZmZhhxMmZbsNjZsNzyMGjBLYAwAssBMZmlRAAAA2MzYmBbGGjZAMzAA,Images/box_images/druid_balance_05.png,https://www.wowhead.com/guide/classes/druid/balance/talent-builds-pve-dps
Druid,Feral,dps,1,Copy Raid,CcGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAjhxMzMzMmtNWmZbGzYmZAAAAYJYWMGmZUzYWYmZGjZYAAAAAAMwAAAAIjZbMzACsAmZAWYwAAAYmN,Images/box_images/druid_feral_01.png,https://www.wowhead.com/guide/classes/druid/feral/talent-builds-pve-dps
Druid,Feral,dps,2,Copy Mythic+,CcGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAmZ2MzMzMGzmx2YbmZm5BmZAAAAYJYWMGmZUzYWYmZmlxMAAAAAAwADAAAgMmtZmZABWAzMALMYAAAY2A,Images/box_images/druid_feral_02.png,https://www.wowhead.com/guide/classes/druid/feral/talent-builds-pve-dps
Druid,Feral,dps,3,Copy Cleave,CcGAAAAAAAAAAAAAAAAAAAAAAAAAAAAghZMmZmZmxsZsN2mZmZMzAAAAwSwsYMMzomxswMzMLjZAAAAAAgBGAAAAZMbzMzACsAmZAWYwAAAwsB,Images/box_images/druid_feral_03.png,https://www.wowhead.com/guide/classes/druid/feral/talent-builds-pve-dps
Druid,Feral,dps,4,Copy Council,CcGAAAAAAAAAAAAAAAAAAAAAAAAAAAAghZMmZmZmxsZsN2mZmZMzAAAAwSwsYMMzomxswMzMLjZAAAAAAgBGAAAAZMbzMzACsAmZAWYwAAAwsB,Images/box_images/druid_feral_04.png,https://www.wowhead.com/guide/classes/druid/feral/talent-builds-pve-dps
Druid,Feral,dps,5,Copy Delves,CcGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAmZ2MzMzMGzmx2YbmZm5BmZAAAAYJYWMGmZUzYWYmZmlxMAAAAAAwADAAAgMmtZmZABWAzMALMYAAAY2A,Images/box_images/druid_feral_05.png,https://www.wowhead.com/guide/classes/druid/feral/talent-builds-pve-dps
Druid,Feral,dps,6,Copy Raid,CcGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAjZMmZmZmxstwyYbGzYmZAAAAYJYWMGmZUzYWYmZGjZYAAAAAAMwAAAAIAYY2aWGLbgZGgFGMAAmZAA,Images/box_images/druid_feral_06.png,https://www.wowhead.com/guide/classes/druid/feral/talent-builds-pve-dps
Druid,Feral,dps,7,Copy Mythic+,CcGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAjZ2MzMzMGzmx2YbmZm5BmZAAAAYJYWMGmZUzYWYmZGjZYAAAAAAMwAAAAIAYY2aWGLbgZGgFGMAAmZAA,Images/box_images/druid_feral_07.png,https://www.wowhead.com/guide/classes/druid/feral/talent-builds-pve-dps
Druid,Feral,dps,8,Copy Cleave,CcGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAjZ2MzMzMGzmx2YbmZm5BmZAAAAYJYWMGmZUzYWYmZGjZYAAAAAAMwAAAAIAYY2aWGLbgZGgFGMAAmZAA,Images/box_images/druid_feral_08.png,https://www.wowhead.com/guide/classes/druid/feral/talent-builds-pve-dps
Druid,Feral,dps,9,Copy Council,CcGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAjZ2MzMzMGzmx2YbmZm5BmZAAAAYJYWMGmZUzYWYmZGjZYAAAAAAMwAAAAIAYY2aWGLbgZGgFGMAAmZAA,Images/box_images/druid_feral_09.png,https://www.wowhead.com/guide/classes/druid/feral/talent-builds-pve-dps
Druid,Feral,dps,10,Copy Delves,CcGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAjZ2MzMzMGzmx2YbmZm5BmZAAAAYJYWMGmZUzYWYmZGjZYAAAAAAMwAAAAIAYY2aWGLbgZGgFGMAAmZAA,Images/box_images/druid_feral_10.png,https://www.wowhead.com/guide/classes/druid/feral/talent-builds-pve-dps
Druid,Guardian,tank,1,Copy Raid,CgGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgZmxs4BGzDM2MLzMPgZZZAMMaimZmlZmZmZZMDAAAAAAjZbGwiZGwYAMFAAAYDzAYxMYwgltBYmBA,Images/box_images/druid_guardian_01.png,https://www.wowhead.com/guide/classes/druid/guardian/talent-builds-pve-tank
Druid,Guardian,tank,2,Copy Mythic+,CgGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgZmZmlZmZMWMLeg5BmZZZAbGGNRzMzyYmZmlxMAAAAAAMmNDYxMDYMAmCAAAshZAsYGMYwyGgZGA,Images/box_images/druid_guardian_02.png,https://www.wowhead.com/guide/classes/druid/guardian/talent-builds-pve-tank
Druid,Guardian,tank,3,Copy Delves,CgGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgZmZmlZmZMWMLeg5BmZZZAbGGNRzMzyYmZmlxMAAAAAAMmNDYxMDYMAmCAAAshZAsYGMYwyGgZGA,Images/box_images/druid_guardian_03.png,https://www.wowhead.com/guide/classes/druid/guardian/talent-builds-pve-tank
Druid,Guardian,tank,4,Copy Raid,CgGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgZmxs4BGzDM2MLzMPgZZZAMMaimZmlZmZmxYGDAAAAAwY2mBAAAgyYWmxMAAWwMAWMDGMYZbAwMLA,Images/box_images/druid_guardian_04.png,https://www.wowhead.com/guide/classes/druid/guardian/talent-builds-pve-tank
Druid,Guardian,tank,5,Copy Mythic+,CgGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgZmZml5BmZMWMLeg5BmZZZAbGGNRzMzyYmZmlxMAAAAAAMmNDAAAAlxsMjZAAsgZAsYGMYwy2AgZWA,Images/box_images/druid_guardian_05.png,https://www.wowhead.com/guide/classes/druid/guardian/talent-builds-pve-tank
Druid,Guardian,tank,6,Copy Delves,CgGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgZmZml5BmZMWMLeg5BmZZZAbGGNRzMzyYmZmlxMAAAAAAMmNDAAAAlxsMjZAAsgZAsYGMYwy2AgZWA,Images/box_images/druid_guardian_06.png,https://www.wowhead.com/guide/classes/druid/guardian/talent-builds-pve-tank
Druid,Restoration,healer,1,Copy Raid,CkGAAAAAAAAAAAAAAAAAAAAAAMjxMLz2MmZY2GmxMYswAAAAAAAAAAAbDa2YMNDDjZZmZmZYYmBAAAAAAwYAbGLYaYZAAACYhxMwMDQzAgZGAA,Images/box_images/druid_restoration_01.png,https://www.wowhead.com/guide/classes/druid/restoration/talent-builds-pve-healer
Druid,Restoration,healer,2,Copy Mythic+,CkGAAAAAAAAAAAAAAAAAAAAAAMMmxsNjZmxsN8AMzswsYbGAAAAAAAAAAsNoZDmmhhxsYmZmZZGMDAAAAAAgxA2MWw0wyAAAEwCjZgxsBaGAMzAA,Images/box_images/druid_restoration_02.png,https://www.wowhead.com/guide/classes/druid/restoration/talent-builds-pve-healer
Druid,Restoration,healer,3,Copy Delves,CkGAAAAAAAAAAAAAAAAAAAAAAMMmxYGzMjZbmZYYhZx2MAAAAAAAAAAYbQzGMNDDjZxMzMzyMMGAAAAAAAjBsYsgphtBAAIgFGzAzYD0MAYmBAA,Images/box_images/druid_restoration_03.png,https://www.wowhead.com/guide/classes/druid/restoration/talent-builds-pve-healer
Druid,Restoration,healer,4,Copy Raid,CkGAAAAAAAAAAAAAAAAAAAAAAMjxMbz2MmZY2GmxMYswAAAAAAAAAAAbDa2YMNDzYMLMzMDDzMAAAAAAAGDAABAAMbjtmFDbMzMwMDQzAAMzAA,Images/box_images/druid_restoration_04.png,https://www.wowhead.com/guide/classes/druid/restoration/talent-builds-pve-healer
Druid,Restoration,healer,5,Copy Mythic+,CkGAAAAAAAAAAAAAAAAAAAAAAMMmxsNjZmxsN8AMzswsYbGAAAAAAAAAAsNoZDmmhZ8AmFzMzMLzwDMDAAAAAAgxAAQAAAz2YrZxwGjZgxsAaGAgZGA,Images/box_images/druid_restoration_05.png,https://www.wowhead.com/guide/classes/druid/restoration/talent-builds-pve-healer
Druid,Restoration,healer,6,Copy Delves,CkGAAAAAAAAAAAAAAAAAAAAAAMMmxYGzMjZbmZYYhZx2MAAAAAAAAAAYbQzGMNDzYMLmZmZWmhHwAAAAAAAYMAAEAAwws1sMWsxYGYGbgmBAYmBA,Images/box_images/druid_restoration_06.png,https://www.wowhead.com/guide/classes/druid/restoration/talent-builds-pve-healer
Evoker,Devastation,dps,1,Copy ST,CsbBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgZmZwMDGMgBjZaGzMZMWmZmZGmZmZGwMmZGzMbjZwMwwMAwCYGmAbBLDDAzA,Images/box_images/evoker_devastation_01.png,https://www.wowhead.com/guide/classes/evoker/devastation/talent-builds-pve-dps
Evoker,Devastation,dps,2,Copy Mythic+,CsbBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgZmHYMzMzMzwMwwYYaYmJjx2gZGGzMzAmZmZGzMbjZwMwwMAwCYGmAbBLDDAzMA,Images/box_images/evoker_devastation_02.png,https://www.wowhead.com/guide/classes/evoker/devastation/talent-builds-pve-dps
Evoker,Devastation,dps,3,Copy Cleave,CsbBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgZmZwMDGMgBjZaGzMZMWmZmZGmZmZGwMmZGzMbjZwMwwMAwCYGmAbBLDDAzA,Images/box_images/evoker_devastation_03.png,https://www.wowhead.com/guide/classes/evoker/devastation/talent-builds-pve-dps
Evoker,Devastation,dps,4,Copy Council,CsbBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgZmHYMzMzMzwMwwYYaYmJjx2gZGGzMzAmZmZGzMbjZwMwwMAwCYGmAbBLDDAzMA,Images/box_images/evoker_devastation_04.png,https://www.wowhead.com/guide/classes/evoker/devastation/talent-builds-pve-dps
Evoker,Devastation,dps,5,Copy Delves,CsbBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgZmHYMzMzMzwMwwYYaYmJjx2gZGGzMzAmZmZGzMbjZwMwwMAwCYGmAbBLDDAzMA,Images/box_images/evoker_devastation_05.png,https://www.wowhead.com/guide/classes/evoker/devastation/talent-builds-pve-dps
Evoker,Devastation,dps,6,Copy ST,CsbBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAzMDMDzgBMYMTjZmpZmZWGMzMz8AzMzAmxMzYmZbMDMwYAwY0YbAZggNMwMDG,Images/box_images/evoker_devastation_06.png,https://www.wowhead.com/guide/classes/evoker/devastation/talent-builds-pve-dps
Evoker,Devastation,dps,7,Copy Mythic+,CsbBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgZmZgZYGMwADTjZmpZmZWmhZmZGzMzAmZMzYmZbmZgBGDWgFGNAkZQwGGYmBzA,Images/box_images/evoker_devastation_07.png,https://www.wowhead.com/guide/classes/evoker/devastation/talent-builds-pve-dps
Evoker,Devastation,dps,8,Copy Cleave,CsbBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAzMDMDzgBMYMTjZmpZmZWmhZmZGzMzAmxMzYmZbMDMwYAwY0wAyMIYDDMzgB,Images/box_images/evoker_devastation_08.png,https://www.wowhead.com/guide/classes/evoker/devastation/talent-builds-pve-dps
